id,word
1799,conceptual
5520,logrado
87,acompaña
1017,biología
420,ampliamente
7653,radio
3067,eficiencia
6359,novedad
5970,mito
5108,investigación
4994,instrumental
2899,distribución
3514,establecerse
6968,pico
8992,tienda
123,acuerdo
8631,stephen
2643,desea
4615,homólogos
9751,ángel
9766,átomos
5117,involucra
5932,mike
5061,internos
9055,toque
9099,tragedia
5723,martínez
7146,portadores
4312,goles
245,agrupa
9221,tácticas
6982,piernas
1962,constituye
4735,iluminación
5030,intentos
8793,sí
7633,química
4816,incluye
7499,provocar
442,ancestros
2140,corteza
9148,tratamientos
6314,nociones
3165,embajada
7289,prevenir
1272,caracterizó
8411,sexo
9778,éstos
9493,victoria
6405,núcleos
3048,editó
3203,empezó
5033,interacción
5713,mariscal
4363,great
5936,milenio
8753,sur
1421,cerdos
3151,eliminó
3373,eréctil
7184,postura
2721,detractores
7583,páncreas
5195,jimmy
5243,junta
9439,ventas
7984,respiración
6258,negros
3941,filial
7565,punta
1571,climas
3001,déficit
3626,etanol
5304,lapso
5488,llegaron
8286,sector
7001,pioneros
2724,deudas
2265,cualidad
1287,carencia
5366,lesión
8338,semen
4131,fundado
8421,señalado
3131,elegidos
5993,modificada
9635,válido
8691,suficiente
524,aparece
6003,moleculares
9058,tormes
1078,botón
6684,paladar
6802,patentes
2427,debilidad
2731,dialecto
4072,françois
3034,edad
1485,cien
6390,numeración
7713,recepción
8605,sospecha
5574,líder
8964,texas
1331,castilla
9656,wallace
7420,pronunciación
5860,mercado
2394,darle
551,aplicado
3658,eventos
2082,convertido
2976,drásticamente
7777,recuerdo
2849,diseñados
1214,campesinos
3378,escalar
8207,saga
328,alguno
3333,entusiasmo
2773,dificultades
2883,disputas
6492,ocupando
4748,impacto
2053,control
4582,histórica
8675,sudamericano
4610,homonimia
983,bellas
5368,letra
9760,árbol
7932,representantes
297,aleación
313,alexander
1832,conductores
2504,dejan
5851,mensajes
7452,propuso
2104,corazón
7027,plantea
7425,propaganda
2513,delgado
9525,villa
4910,influyen
7171,positivas
2928,dj
1900,conseguido
4649,hubiera
5899,metálica
6353,notación
4993,instrucción
8344,senadores
1209,campañas
5250,jurídicas
674,artesanía
1074,borges
6722,parece
2074,convención
6097,multitud
1809,concluyó
1791,concentraciones
8493,simpson
1235,cantantes
6069,movimientos
1308,carro
1361,causan
9196,tuberculosis
3622,estípula
7581,páginas
6951,pesos
8588,somos
9036,toma
536,apariencia
5782,mañana
3845,falso
1276,característicos
8826,tanques
7944,reproductivo
5636,man
5452,listas
4846,india
4940,ingresó
3720,expandir
499,antisemitismo
8368,separación
1152,cabe
3230,encargado
8217,salarios
917,banco
7878,relevancia
7449,propuesta
3272,enfrenta
5131,irracional
3571,estoy
7079,poderoso
1798,conceptos
498,antipsicóticos
9646,vídeo
2685,destacó
7235,preferentemente
2416,deben
7708,realizó
6167,móviles
6596,organizó
9234,típicamente
5547,luchas
4578,historiadores
2740,dibujar
9283,universalidad
2881,dispuestos
2126,corresponden
6673,page
1204,caminos
6471,occidentales
8019,retina
7939,reproducción
5803,medicina
9596,vocalista
4564,hindú
2951,domingo
796,aumentan
6523,ojo
3184,emite
7691,realidad
5105,inversión
9677,will
3912,feudales
5386,liberado
8510,sintió
7983,respeto
8163,rumores
9223,técnicas
6718,paraíso
1157,cable
7354,procesar
3353,epstein
6122,musulmana
5340,legales
3423,escultura
5416,ligeramente
5611,maduro
4233,generalmente
909,balanza
1408,centró
2052,contribuyó
4897,infinito
695,ascenso
451,andrea
721,asiáticos
292,alcohol
6617,originalmente
2554,departamentos
9705,y
7340,problema
2268,cualquiera
1345,categoríanovelas
1822,condición
7635,químico
7383,profesionales
7440,proporciona
2254,crónica
8175,rápida
3971,financieros
4144,funk
8040,revelación
4581,history
6441,observadores
1137,básicamente
3474,específica
846,ave
3856,famoso
1846,conferencias
3466,especificación
8125,romboide
6005,molina
6661,oxígeno
6655,otros
7016,planeado
1749,compositor
1487,ciencias
135,ad
454,andrés
6535,once
3101,ejes
3558,estilo
2195,cree
8235,salvar
2830,discapacidad
5048,interiores
4305,gobernantes
2233,cromátidas
2580,derivados
9162,trenes
6379,nuestras
7371,productivos
9458,verdes
4262,geométrica
7493,provisional
6895,permaneció
5081,intestino
1881,conocidos
8456,significado
60,accesorios
1563,claude
6662,ozono
5997,modo
1980,consultado
2531,demostraron
3440,espaciales
5625,magnético
6398,n°
101,actividad
9277,uniones
6033,monte
7005,piso
4173,g
2625,describir
8397,servidores
2772,dificultad
3486,esperar
9043,tomar
5463,liverpool
9214,tuvieran
7135,porcina
9284,universidad
5921,micrófono
9238,título
3636,etiqueta
3627,etapa
843,avanzado
8855,teclas
8931,terminada
2255,crónicas
5192,jesucristo
4215,gastrulación
3574,estratégica
9400,ve
5107,investigaciones
834,autónoma
1758,comprobar
1765,compuestos
8276,sección
7981,respecto
8635,stewart
9137,traslado
6463,obtuvo
4394,guerras
4995,instrumento
8943,terremotos
7314,primordial
3389,escena
316,alfabeto
3040,edificio
8507,sintagma
1076,bosques
4042,fotografías
5694,march
8857,tecnologías
9257,una
604,aquiles
6514,oficina
3433,esfuerzo
5238,juicios
1927,consideraron
273,alan
340,alimento
1857,conformado
989,benito
2440,decidió
1932,consiguen
7362,producida
722,asocia
6700,papas
5467,llamada
356,alpes
1368,cavidades
2291,cubrir
4685,híbridos
6983,piero
3060,efectivos
8830,tantos
5139,isla
5627,mago
3803,extraer
5543,lucha
3695,exclusivamente
6692,panamá
8593,soneto
1808,concluye
6085,muerto
8401,sería
8697,sufren
7018,planeta
8657,subterránea
2250,crítica
5777,mayoritaria
8319,según
3017,ecológicos
5087,introdujeron
832,auténtica
8077,rin
4529,heridas
7349,procedimiento
2926,diámetro
1048,bluray
9820,útero
1413,cerca
6734,parientes
2205,creía
4909,influye
2130,correspondía
1075,bosque
5487,llegar
7931,representante
7437,proponen
812,austrohúngaro
9217,tv
3390,escenario
6487,ocupación
954,bases
2003,contemporáneos
9143,trataba
5201,johannes
9509,vienen
7790,reduce
5858,meramente
5868,mero
7660,rango
3088,ejecutivos
8711,suizos
4531,hermana
554,aplicar
6782,pasajes
7796,redujo
4775,imposición
2940,documentales
5825,mejoró
3595,estudiadas
254,aguda
8514,siquiera
5606,madre
3263,energía
6701,papel
3468,espectadores
605,aquino
4422,génesis
150,adelante
3894,fenotipo
6076,mucho
361,alrededores
2007,contenido
9332,utilizaban
4499,heath
5369,letras
1183,calificó
2745,dicen
4165,físico
6741,parque
3018,economistas
8909,teniendo
8689,sueño
6519,ofrecer
4474,hambre
5327,lc
3178,emilio
5012,intelectuales
2175,creado
3937,fijos
9265,unida
5963,misión
3350,episodio
7545,puebla
799,aumento
2128,correspondiente
9363,valores
2357,cárcel
3426,ese
699,asegurar
5011,intelectual
8905,tenga
8701,sufrir
2727,diagnóstico
2057,controlado
836,autónomo
5719,marta
6232,nazis
6682,palacio
6152,método
1241,caos
5495,llevaba
3118,electorales
4533,hermann
1582,clubes
440,anatomía
9290,unió
8659,subtropical
955,basta
6343,norteamericano
7799,reemplazar
2739,diarios
39,abstracto
6162,módem
1612,coincide
6842,pensaba
5845,mendoza
1680,comercial
1700,comparada
7887,religiosos
2393,dark
2024,continuaron
3432,esferas
8512,sinónimo
446,ancianos
2514,della
373,altitud
6116,museo
9197,tubo
808,australiana
8628,stalingrado
5954,minutos
7392,profundo
7761,reconocía
4586,históricos
5864,mercantilistas
763,atletas
7639,rachel
7617,quiera
8584,sombrero
4486,hart
7768,recorrer
5374,leve
4293,glande
8046,revolucionaria
3702,exista
6614,original
4316,golpes
6822,pecados
4216,gato
4554,hijas
7410,prolongada
44,abundante
7294,previos
993,bermudas
58,accesible
6188,nacionales
9243,u
7572,pura
4508,hegel
1496,cierta
